original_language,overview,title,budget,revenue,runtime,release_date,popularity,vote_average,vote_count,genres
en,"Desperate to escape his mind-numbing routine, uptown Manhattan office worker Paul Hackett ventures downtown for a hookup with a mystery woman.",After Hours,4500000,10609321,97,1985-09-13,5.9463,7.502,1621,"['Comedy', 'Thriller', 'Drama']"
fr,"Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina. Brutus uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar in the process.",Asterix at the Olympic Games,97250400,131856927,116,2008-01-25,5.3962,5.225,2050,"['Fantasy', 'Adventure', 'Comedy', 'Family']"
en,"In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",The Island,126000000,162949164,136,2005-07-21,5.6414,6.684,5640,"['Action', 'Thriller', 'Science Fiction', 'Adventure']"
en,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.",Eight Below,40000000,120453565,120,2006-02-17,5.3585,7.025,1762,"['Adventure', 'Drama', 'Family']"
en,"Cool government operative James Bond searches for a stolen invention that can turn the sun's heat into a destructive weapon. He soon crosses paths with the menacing Francisco Scaramanga, a hitman so skilled he has a seven-figure working fee. Bond then joins forces with the swimsuit-clad Mary Goodnight, and together they track Scaramanga to a Thai tropical isle hideout where the killer-for-hire lures the slick spy into a deadly maze for a final duel.",The Man with the Golden Gun,7000000,97600000,125,1974-12-04,5.6914,6.459,2160,"['Adventure', 'Action', 'Thriller']"
en,"A valedictorian's declaration of love for a high-school cheerleader launches a night of revelry, reflection and romance for a group of graduating seniors.","I Love You, Beth Cooper",18000000,15300000,102,2009-07-10,5.4639,6.001,923,"['Comedy', 'Romance']"
en,"Before the Seavers leave for a family vacation to San Francisco, they drop off their pets -- Chance, an adventurous American bulldog; Shadow, a wise golden retriever; and Sassy, a cautious cat -- at a friend's ranch. But when the animals start to worry that they've been left for good, the three embark together on a treacherous and thrilling journey to find their way back home through the California wilderness.",Homeward Bound: The Incredible Journey,24000000,57333324,84,1993-02-03,6.234,6.973,1075,"['Adventure', 'Comedy', 'Family']"
en,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City.",TMNT,34000000,95608995,87,2007-03-23,5.9001,6.148,1158,"['Adventure', 'Animation', 'Comedy', 'Family']"
en,"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",Elizabeth,30000000,82150642,124,1998-09-13,5.3589,7.173,1444,"['Drama', 'History']"
en,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.,What We Do in the Shadows,1600000,6300000,86,2014-06-19,5.1139,7.56,3731,"['Comedy', 'Horror']"
